Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
190,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Mizoram,NA,141.2,120,133,127.9,114.8
191,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Nagaland,67.24,75.65,76.1,109,111.8,114.2
192,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Orissa,58.91,75.28,96.08,100.3,97.09,103.7
193,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Puducherry,79.76,98.89,121.5,123.4,120.7,121.6
194,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Punjab,70.52,74.92,95.3,111.8,117.7,111.4
195,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Rajasthan,57.89,62.79,90.45,100.3,102.3,103.9
196,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Sikkim,90.43,93.31,112.5,121.3,124.7,128.7
197,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Tamil Nadu,76.44,98.06,118.2,119.2,116.1,123.5
198,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Telangana,80.85,80.58,107.3,109.2,106.5,111
199,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,117,118.8
200,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Tripura,73.79,81.39,88.62,114.4,110.2,112.4
201,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Uttar Pradesh,60.03,71.71,105.2,107.5,103.2,106.4
202,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),Uttarakhand,81.68,79.95,99.53,107,110.8,104.1
203,Annual Average Retail Prices of Urad Dal,Unit - (Rs./Kg.),West Bengal,77.51,75.13,93.5,105.4,106.3,111.1
204,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Andaman and Nicobar,79.53,88.75,116.3,116.6,119.6,126.7
205,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Andhra Pradesh,74.31,82.01,107,108.6,107.6,112.8
206,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Arunachal Pradesh,85.35,91.93,116.9,118.5,119,117.9
207,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Assam,74.64,82.69,102.5,97.18,97.3,106.7
208,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Bihar,71.74,81.44,100.9,101.1,100.1,103
209,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Chandigarh,66.33,76.64,97.15,111.3,110.7,104.3
210,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Chhattisgarh,72.43,78.14,106.7,99.74,98.82,102.5
211,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Delhi,85.74,89.86,106.2,104.6,101.6,109.3
212,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Goa,92.47,100.9,122.5,115.2,115.8,119.6
213,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Gujarat,65.19,68.31,87.22,94,94.95,98.98
214,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Haryana,68.99,69.89,98.13,99.65,96.38,97.63
215,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Himachal Pradesh,71.47,79.26,100.6,98.93,97.17,104.7
216,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Jammu and Kashmir,71.39,87.3,104.9,107.8,109.3,114.6
217,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Jharkhand,72.8,86.86,105.6,98.58,98.66,103.4
218,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Karnataka,77.56,84.1,105.8,107.2,104.3,112.3
219,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Kerala,77.07,92.63,121.3,119.8,121.5,127.3
220,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Madhya Pradesh,64.38,74.4,86.44,99.15,94.92,101.1
221,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Maharashtra,77.31,81.98,105.5,114.2,105.3,111.3
222,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Manipur,100.7,103.6,127.4,124.7,105.6,114.1
223,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Meghalaya,77.54,90.43,124.6,112.7,111,111.4
224,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Mizoram,140,138.4,139.3,136.9,115.2,118
225,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Nagaland,77.85,80.15,105.4,107.4,118.6,118.8
226,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Orissa,69.19,81.11,97.42,98.54,96.38,102.7
227,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Puducherry,81.42,92.61,114.8,112.1,106.6,113.7
228,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Punjab,75.63,81.51,103.7,106.6,109.1,106.6
229,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Rajasthan,62.7,70.54,91.35,95.07,97.72,99.84
230,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Sikkim,84.91,90.14,116.4,112.1,114.3,117.8
231,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Tamil Nadu,76.35,90.07,111.1,106.1,104.7,113.7
232,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Telangana,74.49,79.07,105.7,102.3,99.47,104.4
233,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,106.6,110.4
234,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Tripura,79.25,88.69,100.9,101.4,105.8,106.3
235,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Uttar Pradesh,69.04,77.66,99.56,100.5,98.95,103.8
236,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),Uttarakhand,75.54,79.12,99.39,106.1,110,108.9
237,Annual Average Retail Prices of Moong Dal,Unit - (Rs./Kg.),West Bengal,78.83,81.92,100.7,112.2,109.5,116.3
238,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Andaman and Nicobar,65.86,70.04,88.15,99.6,109.2,108.4
239,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Andhra Pradesh,60.57,62.95,77.13,92.57,102.8,101.9
240,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Arunachal Pradesh,80,69.03,84.12,106.7,107.7,102.7
241,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Assam,61,65.3,74.06,86.94,90.48,92.21
242,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Bihar,54.47,56.96,69.39,84.04,88.56,81.41
243,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Chandigarh,49.63,53.61,67.25,87.48,90.77,94.17
244,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Chhattisgarh,55.66,56.3,69.48,84.89,90.64,87.8
245,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Delhi,71.86,73.03,78.46,88.65,94.55,89.27
246,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Goa,71.02,74.57,83.51,93.07,103.7,98.14
247,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Gujarat,54.3,55.21,64.82,82,92.52,95.77
248,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Haryana,57.91,57.66,75.6,87.47,91.9,91.17
249,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Himachal Pradesh,58.01,61.11,72.23,86.57,94.81,89.82
250,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Jammu and Kashmir,61.84,67.7,78.84,94.99,103,101.1
251,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Jharkhand,54.49,60.73,71.43,83.8,88.69,82.76
252,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Karnataka,75.36,71.09,81.98,96.15,103.8,100.9
253,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Kerala,66,70.94,80.61,97.83,113.8,110.6
254,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Madhya Pradesh,53.38,57.74,65.57,83.98,89.14,88.34
255,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Maharashtra,58.87,60.62,75.1,90.87,98.44,96.54
256,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Manipur,80.04,80.23,91.6,91.13,93.03,96.19
257,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Meghalaya,61.42,61.25,83.5,96.75,96.51,92.55
258,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Mizoram,100,105.1,113.8,118.9,114.5,105.3
259,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Nagaland,61.25,64.26,69.38,90.86,104.6,100
260,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Orissa,50.98,56.41,69.49,83.11,89.68,79.89
261,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Puducherry,58.55,66.58,78.91,93.41,100.6,90.13
262,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Punjab,68.56,69.97,77.77,94.6,107.9,96.54
263,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Rajasthan,53.18,55.26,67.46,86.04,93.81,89.97
264,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Sikkim,71.45,71.52,83.76,95.01,106.2,103.6
265,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Tamil Nadu,60.45,64.16,76.23,89.41,98.78,93.09
266,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Telangana,69.99,63.69,71.34,78.62,93.89,91.96
267,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,105,102.9
268,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Tripura,68.46,79.61,93.21,99.74,109.7,109.2
269,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Uttar Pradesh,54.92,60.02,71.59,88.39,93.87,92.1
270,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),Uttarakhand,77.04,70.33,77.26,86.01,98.82,100.5
271,Annual Average Retail Prices of Masoor Dal,Unit - (Rs./Kg.),West Bengal,68.26,70.47,84.76,101.1,104.8,106.1
272,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Andaman and Nicobar,NA,NA,110,NA,214.8,226.9
273,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Andhra Pradesh,106.9,113.4,138.1,161.8,172.5,176.2
274,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Assam,NA,NA,NA,183.4,206.9,205
275,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Bihar,NA,NA,127.6,189,196.7,194
276,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Chandigarh,128,126.9,143.7,170.2,182.6,192.2
277,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Chhattisgarh,120.4,125.8,142.5,169.1,187.4,191.4
278,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Delhi,163.8,162.1,176.8,188.8,204.9,215.5
279,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Goa,163.1,166.3,180.9,185.2,201,202
280,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Gujarat,100.4,103,138.4,168.2,175.7,188.1
281,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Haryana,147.3,153.5,152.9,179.9,188.7,191
282,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Himachal Pradesh,144.6,140.9,139.7,177.5,189.4,204.1
283,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Jammu and Kashmir,NA,NA,NA,172.1,250,251.6
284,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Jharkhand,145.3,151.1,174.1,194.2,202.3,188.6
285,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Karnataka,137.3,137.6,152.9,172.3,187.3,182.1
286,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Kerala,129.1,153.9,177.1,199.4,211.6,224.8
287,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Madhya Pradesh,120.3,119,130,169.5,178.7,187.5
288,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Maharashtra,120,122.9,143.6,173.6,183.5,185.6
289,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Manipur,NA,NA,NA,119,180.7,186.2
290,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Meghalaya,105.1,117.3,164.6,156.9,172.9,146.5
291,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Mizoram,NA,103.7,NA,NA,187.7,174.7
292,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Nagaland,110.9,114.4,115.4,138.9,202.5,198
293,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Orissa,NA,NA,NA,NA,179.7,174.9
294,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Puducherry,125.2,134.1,166.6,168.2,173.2,199.9
295,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Punjab,140.7,139.3,153.5,186.1,208.4,197.4
296,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Rajasthan,120,130.1,156.3,182,192.7,186.7
297,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Tamil Nadu,139.2,153.6,171.4,192.1,202.5,213.6
298,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Telangana,108,108.2,131.7,156.6,169,169.2
299,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,197.6,197.4
300,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Uttar Pradesh,129.5,128.2,140.5,185.2,188.2,189.4
301,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),Uttarakhand,134.7,133.4,140.2,164.8,183.9,168.3
302,Annual Average Retail Prices of Groundnut Oil (Packed),Unit - (Rs./Kg.),West Bengal,124.3,127.1,138.1,160.7,191.3,199.9
303,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Andaman and Nicobar,139.1,140.8,149.9,204.1,228.1,211.1
304,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Andhra Pradesh,115.1,120.3,139.3,179.1,200.8,200.4
305,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Arunachal Pradesh,120.8,126.6,140.3,146.4,164.8,159.2
306,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Assam,90,90,119.5,169.9,180.9,158.3
307,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Bihar,102.2,109.2,123.7,171.7,171.3,149.1
308,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Chandigarh,101,99.11,108.1,157.4,182.7,173.7
309,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Chhattisgarh,100.2,105.6,121,163.9,177.5,162.4
310,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Delhi,120.2,120.2,137.9,175,188.6,147.5
311,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Goa,152.1,148,153.4,170.4,180.6,173.2
312,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Gujarat,86.76,88.97,100.1,156.7,173.3,168.3
313,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Haryana,99.23,99.08,110.9,162.8,172.7,152.8
314,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Himachal Pradesh,125,127.6,139.6,173.4,182.7,167
315,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Jammu and Kashmir,118.6,129,156.6,183.3,197.1,177
316,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Jharkhand,107.2,107.7,125.8,185.4,180,153.8
317,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Karnataka,126,127.8,135.1,172.5,194.8,181.5
318,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Kerala,144.6,137.5,138.3,185.7,213,208.2
319,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Madhya Pradesh,89.65,94.95,104.7,158.5,173.2,147.7
320,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Maharashtra,125.5,119.5,128.3,175.5,184.6,174.6
321,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Manipur,109.1,108.8,124.3,144.7,182.1,199
322,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Meghalaya,96.31,95.67,117.9,161,169.4,149.7
323,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Mizoram,109,105.2,110.4,168,193.9,196.5
324,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Nagaland,90,90.56,95.62,149.1,178.3,164.6
325,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Orissa,102.6,106,125.4,181.2,187.8,153.6
326,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Puducherry,132,132,135.1,168.7,184,172.2
327,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Punjab,97.67,95.32,114.7,162.9,179.1,143.2
328,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Rajasthan,95.3,99.53,114.5,170.8,179.1,159.6
329,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Sikkim,123.1,121.8,136.8,193.3,208.9,189.8
330,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Tamil Nadu,123.2,127.6,133.8,171,208.3,196.3
331,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Telangana,97.12,121.9,129.5,161.2,189.6,179.3
332,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,179.3,166.8
333,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Tripura,109.6,107.4,121.4,169.6,177.7,157.1
334,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Uttar Pradesh,103.7,106.6,120.5,173.1,171.4,152.6
335,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),Uttarakhand,93.43,93.27,107.4,152.5,174.1,153.8
336,Annual Average Retail Prices of Mustard Oil (Packed),Unit - (Rs./Kg.),West Bengal,96.82,101.5,112.6,169.4,175.2,145.2
337,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Andaman and Nicobar,130,133.9,145.3,184.7,199.4,199.9
338,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Andhra Pradesh,68.43,68.11,80.03,120.5,141.7,119.1
339,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Arunachal Pradesh,98.44,96.57,94.75,114.4,168.9,146.6
340,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Assam,75,75,95.49,122.7,155.5,143.7
341,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Bihar,80.18,81.98,95.91,134.8,145.6,129.7
342,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Chandigarh,75.8,77.26,93.88,132.8,164.6,140
343,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Chhattisgarh,71.84,70.77,76.05,112.6,140.6,125.6
344,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Delhi,92.75,91.98,108,138.5,165.4,133.2
345,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Goa,114.5,117,124.9,153.2,170.3,146.3
346,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Gujarat,72.84,72.6,76.32,113.4,144.8,149.7
347,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Haryana,86.96,89.47,98.02,135.3,153,137.1
348,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Himachal Pradesh,90.31,89.59,102.8,139.9,156.4,140.1
349,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Jammu and Kashmir,97.27,106.9,131.2,147.7,171.4,156.3
350,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Jharkhand,73.62,70.29,90.07,129.8,142,127.5
351,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Karnataka,80.87,79.22,85.62,132.1,145.9,126.1
352,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Kerala,92.51,96.12,106.1,149.2,178.8,162.9
353,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Madhya Pradesh,70.45,74.69,83.55,128.7,143.4,123.7
354,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Maharashtra,82.46,75.35,92.87,138.5,154.6,132.9
355,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Manipur,87,86.74,108.4,160.6,183.5,158.7
356,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Meghalaya,75.05,78.63,91.16,139.2,152.4,142.1
357,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Mizoram,NA,NA,120,141.7,187.5,178.5
358,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Nagaland,110,109.9,110.4,115,185,200.7
359,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Orissa,74.84,70.73,88.42,127,138.9,121.1
360,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Puducherry,102.9,104.3,119.7,145.7,168.4,152
361,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Punjab,83.11,81.78,103.5,138.5,157.9,132.3
362,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Rajasthan,70.73,69.17,84.32,122.6,144.4,128.4
363,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Sikkim,77.96,76.05,87.76,133.2,156.3,135.7
364,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Tamil Nadu,92.91,86.76,97.16,133.3,153.7,129.1
365,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Telangana,69.29,70.79,78.1,103.2,141.3,124.4
366,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,168.8,156.9
367,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Tripura,70,68.48,62,136.9,148.5,129.2
368,Annual Average Retail Prices of Vanaspati (Packed),Unit - (Rs./Kg.),Uttar Pradesh,80.3,81.05,93.63,135.2,148.3,134.3
